unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,aqi_category,year,month
177139,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,101,Kingsbridge - Riverdale,Winter 2008-09,2008-12-01,14.66,Moderate,2008,12
170214,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,409,Kew Gardens and Woodhaven (CD9),Annual Average 2009,2008-12-01,10.25,Good,2008,12
170216,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,411,Bayside and Little Neck (CD11),Annual Average 2009,2008-12-01,9.72,Good,2008,12
173102,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,210,Coney Island - Sheepshead Bay,Winter 2008-09,2008-12-01,11.12,Good,2008,12
168402,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,109,Morningside Heights and Hamilton Heights (CD9),Winter 2008-09,2008-12-01,14.72,Moderate,2008,12
168414,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,209,Parkchester and Soundview (CD9),Winter 2008-09,2008-12-01,13.66,Moderate,2008,12
174122,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,210,Coney Island - Sheepshead Bay,Annual Average 2009,2008-12-01,9.55,Good,2008,12
178434,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,408,Jamaica,Annual Average 2009,2008-12-01,9.95,Good,2008,12
174131,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,405,Ridgewood - Forest Hills,Annual Average 2009,2008-12-01,10.44,Good,2008,12
170213,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,408,Hillcrest and Fresh Meadows (CD8),Annual Average 2009,2008-12-01,10.0,Good,2008,12
168431,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,314,Flatbush and Midwood (CD14),Winter 2008-09,2008-12-01,12.75,Moderate,2008,12
178402,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104,Pelham - Throgs Neck,Annual Average 2009,2008-12-01,10.59,Good,2008,12
178410,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,205,Sunset Park,Annual Average 2009,2008-12-01,11.04,Good,2008,12
174112,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,104,Pelham - Throgs Neck,Annual Average 2009,2008-12-01,10.59,Good,2008,12
174115,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,Annual Average 2009,2008-12-01,10.75,Good,2008,12
177157,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301,Washington Heights,Winter 2008-09,2008-12-01,15.02,Moderate,2008,12
174141,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,503504,Southern SI,Annual Average 2009,2008-12-01,9.8,Good,2008,12
178433,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,407,Southwest Queens,Annual Average 2009,2008-12-01,9.96,Good,2008,12
173100,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,208,Canarsie - Flatlands,Winter 2008-09,2008-12-01,12.12,Moderate,2008,12
177158,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,302,Central Harlem - Morningside Heights,Winter 2008-09,2008-12-01,14.56,Moderate,2008,12
177147,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,202,Downtown - Heights - Slope,Winter 2008-09,2008-12-01,14.16,Moderate,2008,12
170194,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Annual Average 2009,2008-12-01,11.13,Good,2008,12
177177,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,501,Port Richmond,Winter 2008-09,2008-12-01,12.46,Moderate,2008,12
168405,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,112,Washington Heights and Inwood (CD12),Winter 2008-09,2008-12-01,15.14,Moderate,2008,12
173120,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,501502,Northern SI,Winter 2008-09,2008-12-01,11.81,Good,2008,12
174124,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301,Washington Heights,Annual Average 2009,2008-12-01,11.55,Good,2008,12
174110,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,102,Northeast Bronx,Annual Average 2009,2008-12-01,10.68,Good,2008,12
174130,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,403,Flushing - Clearview,Annual Average 2009,2008-12-01,10.16,Good,2008,12
170210,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,405,Ridgewood and Maspeth (CD5),Annual Average 2009,2008-12-01,10.7,Good,2008,12
174113,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,201,Greenpoint,Annual Average 2009,2008-12-01,11.93,Good,2008,12
178439,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,503,Willowbrook,Annual Average 2009,2008-12-01,10.1,Good,2008,12
178438,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,502,Stapleton - St. George,Annual Average 2009,2008-12-01,9.63,Good,2008,12
177154,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209,Bensonhurst - Bay Ridge,Winter 2008-09,2008-12-01,11.82,Good,2008,12
178427,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,401,Long Island City - Astoria,Annual Average 2009,2008-12-01,11.4,Good,2008,12
178399,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,101,Kingsbridge - Riverdale,Annual Average 2009,2008-12-01,11.03,Good,2008,12
179645,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,3,Manhattan,Annual Average 2009,2008-12-01,12.63,Moderate,2008,12
178414,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209,Bensonhurst - Bay Ridge,Annual Average 2009,2008-12-01,9.91,Good,2008,12
178432,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,406,Fresh Meadows,Annual Average 2009,2008-12-01,10.0,Good,2008,12
174132,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,407,Southwest Queens,Annual Average 2009,2008-12-01,9.96,Good,2008,12
177145,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,107,Hunts Point - Mott Haven,Winter 2008-09,2008-12-01,12.26,Moderate,2008,12
179644,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,2,Brooklyn,Annual Average 2009,2008-12-01,10.5,Good,2008,12
178412,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,207,East Flatbush - Flatbush,Annual Average 2009,2008-12-01,10.47,Good,2008,12
168417,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,212,Williamsbridge and Baychester (CD12),Winter 2008-09,2008-12-01,13.65,Moderate,2008,12
168415,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210,Throgs Neck and Co-op City (CD10),Winter 2008-09,2008-12-01,13.04,Moderate,2008,12
168403,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,110,Central Harlem (CD10),Winter 2008-09,2008-12-01,14.53,Moderate,2008,12
179493,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,1,Bronx,Winter 2008-09,2008-12-01,14.08,Moderate,2008,12
178401,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,103,Fordham - Bronx Pk,Annual Average 2009,2008-12-01,11.1,Good,2008,12
177174,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,408,Jamaica,Winter 2008-09,2008-12-01,12.69,Moderate,2008,12
168394,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,101,Financial District (CD1),Winter 2008-09,2008-12-01,15.74,Moderate,2008,12
173118,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,309310,Union Square-Lower Manhattan,Winter 2008-09,2008-12-01,14.88,Moderate,2008,12
174142,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,105106107,South Bronx,Annual Average 2009,2008-12-01,11.64,Good,2008,12
173095,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,Winter 2008-09,2008-12-01,13.62,Moderate,2008,12
170182,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Annual Average 2009,2008-12-01,11.47,Good,2008,12
